Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
76,GMRS 6,462.6875,,0,,88.5,88.5,23,NN,FM,5,,,,,,
77,GMRS 7,462.7125,,0,,88.5,88.5,23,NN,FM,5,,,,,,
78,GMRS 8,467.5625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
79,GMRS 9,467.5875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
80,GMRS 10,467.6125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
81,GMRS 11,467.6375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
82,GMRS 12,467.6625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
83,GMRS 13,467.6875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
84,GMRS 14,467.7125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
85,GMRS 15,462.55,,0,,88.5,88.5,23,NN,FM,5,,,,,,
86,GMRS 16,462.575,,0,,88.5,88.5,23,NN,FM,5,,,,,,
87,GMRS 17,462.6,,0,,88.5,88.5,23,NN,FM,5,,,,,,
88,GMRS 18,462.625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
89,GMRS 19,462.65,,0,,88.5,88.5,23,NN,FM,5,S,,,,,,
90,GMRS 20,462.675,,0,,88.5,88.5,23,NN,FM,5,,,,,,
91,GMRS 21,462.7,,0,,88.5,88.5,23,NN,FM,5,,,,,,
92,GMRS 22,462.725,,0,,88.5,88.5,23,NN,FM,5,,,,,,
93,GMRS 55,462.55,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
94,GMRS 57,462.575,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
95,GMRS 60,462.6,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
96,GMRS 62,462.625,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
97,GMRS 65,462.65,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
98,GMRS 67,462.675,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
99,GMRS 70,462.7,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
100,GMRS 72,462.725,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
101,SEA 01,160.65,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
102,SEA 02,160.7,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
103,SEA 03,160.75,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
104,SEA 04,160.8,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
105,SEA 05,160.85,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
106,SEA 06,156.3,,0,,88.5,88.5,23,NN,FM,5,,,,,,
107,SEA 07,160.95,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
108,SEA 08,156.4,,0,,88.5,88.5,23,NN,FM,5,,,,,,
109,SEA 09,156.45,,0,,88.5,88.5,23,NN,FM,5,,,,,,
110,SEA 10,156.5,,0,,88.5,88.5,23,NN,FM,5,,,,,,
111,SEA 11,156.55,,0,,88.5,88.5,23,NN,FM,5,,,,,,
112,SEA 12,156.6,,0,,88.5,88.5,23,NN,FM,5,,,,,,
113,SEA 13,156.65,,0,,88.5,88.5,23,NN,FM,5,,,,,,
114,SEA 14,156.7,,0,,88.5,88.5,23,NN,FM,5,,,,,,
115,SEA 15,156.75,,0,,88.5,88.5,23,NN,FM,5,,,,,,
116,SEA 16,156.8,,0,,88.5,88.5,23,NN,FM,5,,,,,,
117,SEA 17,156.85,,0,,88.5,88.5,23,NN,FM,5,,,,,,
118,SEA 18,161.5,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
119,SEA 19,161.55,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
120,SEA 20,161.6,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
121,SEA 21,161.65,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
122,SEA 22,161.7,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
123,SEA 23,161.75,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
124,SEA 24,161.8,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
125,SEA 25,161.85,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
126,SEA 26,161.9,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
127,SEA 27,161.95,-,4.6,,88.5,88.5,23,NN,FM,5,,,,,,
128,PTMA CTAF,122.7,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
129,PTMA AWOS,132.325,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
130,DVO CTAF,123.075,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
131,DVO AWOS,120.675,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
132,STS TWR,118.5,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
133,STS GND,121.9,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
134,STS ATIS,120.55,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
135,OAK CTR,127.8,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
136,APC TWR,118.7,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
137,APC GND,121.7,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
138,APC ATIS,124.05,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
139,APC CLR,127.85,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
140,AIR GUARD,121.5,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
141,UNICOM,122.95,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
142,VCV AWOS,134.75,,0,,88.5,88.5,23,NN,AM,5,S,,,,,,
